ctry,year,nat_res_exp_sha_t_3,avg_gdppc,pop
nor,2005,0.5249445,62161.12,4.632
nor,2008,0.5627974,62161.12,4.787
nzl,1995,0.1422749,25868.28,3.683
nzl,2000,0.184556,25868.28,3.863
nzl,2005,0.1329854,25868.28,4.142
nzl,2008,0.1497013,25868.28,4.276
phl,1995,0.0812809,1182.66,68.41
phl,2000,0.0850623,1182.66,76.79
phl,2005,0.0656091,1182.66,85.26
phl,2008,0.0316573,1182.66,90.5
pol,1995,0.1282461,7821.536,38.581
pol,2000,0.0655458,7821.536,38.263
pol,2005,0.0557275,7821.536,38.174
pol,2008,0.038671,7821.536,38.116
prt,1995,0.021571,17609.03,10.032
prt,2000,0.0178024,17609.03,10.226
prt,2005,0.0225825,17609.03,10.549
prt,2008,0.028872,17609.03,10.622
rou,1995,0.0465858,4484.021,22.904
rou,2000,0.0479078,4484.021,22.334
rou,2005,0.0312082,4484.021,21.609
rou,2008,0.0411016,4484.021,21.517
rus,1995,0.3040079,5106.143,148.3
rus,2000,0.3340477,5106.143,146.3
rus,2005,0.4148022,5106.143,143.8
rus,2008,0.3874354,5106.143,142.8
sau,1995,0.7660788,13734.02,18.136
sau,2000,0.7897365,13734.02,20.474
sau,2005,0.7762192,13734.02,23.33
sau,2008,0.8398238,13734.02,25.787
sgp,1995,0.0017144,26914.55,3.525
sgp,2000,0.0010172,26914.55,4.028
sgp,2005,0.0004159,26914.55,4.266
sgp,2008,0.0006372,26914.55,4.839
svk,1995,0.0474418,11188.06,5.368
svk,2000,0.0207411,11188.06,5.377
svk,2005,0.027892,11188.06,5.379
svk,2008,0.0240502,11188.06,5.396
svn,1995,0.0104576,16924.53,1.99
svn,2000,0.0094064,16924.53,1.988
svn,2005,0.0121891,16924.53,1.998
svn,2008,0.0166121,16924.53,2.01
swe,1995,0.0167047,38423.93,8.837
swe,2000,0.012154,38423.93,8.883
swe,2005,0.0119863,38423.93,9.048
swe,2008,0.0168856,38423.93,9.256
tha,1995,0.0181062,2626.048,59.46
tha,2000,0.0154475,2626.048,61.879
tha,2005,0.0205472,2626.048,65.134
tha,2008,0.0236655,2626.048,66.321
tur,1995,0.0677667,6732.587,57.453
tur,2000,0.0465491,6732.587,64.252
tur,2005,0.0446197,6732.587,68.566
tur,2008,0.0337431,6732.587,71.095
twn,1995,0.0139995,15259.29,21.357
twn,2000,0.0089817,15259.29,22.277
twn,2005,0.0037472,15259.29,22.77
twn,2008,0.0040462,15259.29,23.037
usa,1995,0.0632933,41699.61,266.458
usa,2000,0.0282916,41699.61,282.296
usa,2005,0.0334782,41699.61,296.115
usa,2008,0.0471579,41699.61,304.718
vnm,1995,0.3851388,663.2249,71.996
vnm,2000,0.4191857,663.2249,77.635
vnm,2005,0.4002774,663.2249,82.392
vnm,2008,0.3964012,663.2249,85.119
zaf,1995,0.4327776,5198.513,41.01
zaf,2000,0.3824468,5198.513,44.523
zaf,2005,0.3456295,5198.513,46.888
zaf,2008,0.3722691,5198.513,49.319
