ctry,isic,year,rca
ind,c70,2008,0.0000209
idn,c40t41,1995,0.0000307
ind,c40t41,1995,0.0000344
ind,c75,1995,0.0000353
ind,c45,2005,0.0000502
ind,c80,2000,0.0000819
fin,c80,1995,0.0001701
twn,c70,1995,0.0002456
sau,c303233,2000,0.0002865
twn,c45,2005,0.0003023
twn,c45,2008,0.000309
chl,c40t41,2005,0.0003173
grc,c70,2008,0.0003394
mlt,c27,2005,0.0003421
kor,c72,2000,0.0003882
deu,c75,2000,0.0004035
sau,c303233,1995,0.0004427
brn,c24,2005,0.0005091
sau,c303233,2008,0.0005125
jpn,c80,1995,0.0005445
bra,c45,1995,0.0005482
chl,c40t41,2008,0.000556
chl,c70,1995,0.0006135
ind,c70,2000,0.0006354
irl,c40t41,1995,0.0006888
lux,c80,2005,0.0007686
brn,c27,1995,0.0008229
sau,c303233,2005,0.000842
brn,c21t22,2005,0.0009309
brn,c20,2005,0.0010567
jpn,c85,1995,0.0011333
brn,c35,2005,0.0011684
prt,c75,2008,0.0012152
mlt,c23,2005,0.0012683
jpn,c80,2000,0.0012765
mlt,c23,2008,0.0014431
rus,c65t67,2008,0.001563
brn,c24,2008,0.0015662
lux,c80,2008,0.0016912
sau,c34,2000,0.0017039
brn,c28,2005,0.0018243
sau,c34,1995,0.0018668
rus,c65t67,2005,0.0018725
tha,c80,2008,0.0019598
rus,c65t67,1995,0.0019983
vnm,c73t74,2008,0.0020103
rus,c65t67,2000,0.0020469
nld,c70,1995,0.0021745
brn,c24,2000,0.0022061
rus,c90t93,2008,0.0022973
vnm,c34,2000,0.0024172
cyp,c34,1995,0.0024691
ind,c40t41,2000,0.002471
isr,c34,2000,0.0025462
sau,c34,2008,0.00258
bra,c70,1995,0.0026831
kor,c10t14,2005,0.0027109
brn,c20,2008,0.002815
rus,c70,1995,0.0028338
vnm,c34,1995,0.0028732
kor,c10t14,2008,0.0029399
rus,c90t93,2005,0.002956
hkg,c20,2008,0.002998
rus,c90t93,2000,0.0030244
mlt,c10t14,2008,0.0030321
deu,c80,1995,0.0031278
brn,c20,2000,0.0033454
brn,c303233,2005,0.0034235
twn,c10t14,2000,0.0034306
twn,c10t14,2008,0.0034676
kor,c75,2005,0.0035362
brn,c21t22,2008,0.0035398
twn,c70,2000,0.0035748
brn,c21t22,2000,0.0035806
tha,c80,2000,0.0035988
mlt,c34,2000,0.0037472
mlt,c34,2005,0.0037781
mex,c70,1995,0.0038252
vnm,c34,2005,0.0039371
mex,c55,2008,0.0039402
lux,c10t14,2008,0.0039786
che,c10t14,2008,0.0040464
sau,c34,2005,0.0040669
twn,c10t14,2005,0.0041598
ind,c40t41,2005,0.0041774
brn,c28,2008,0.0041812
chl,c85,1995,0.0042518
che,c10t14,2005,0.0043516
tur,c45,1995,0.0043617
twn,c50t52,2000,0.0043725
tha,c65t67,2008,0.0043862
vnm,c34,2008,0.0043897
vnm,c73t74,2005,0.004444
rus,c90t93,1995,0.0045399
sgp,c75,2000,0.0045845
kor,c75,2008,0.0046491
isr,c34,2005,0.0047475
grc,c80,1995,0.0048498
svn,c10t14,2008,0.0048712
bgr,c34,2005,0.0048876
tha,c65t67,2000,0.0049402
irl,c10t14,2008,0.0049453
khm,c34,1995,0.0050628
brn,c80,2008,0.0051492
tha,c65t67,2005,0.0052166
brn,c35,2008,0.0052905
sau,c35,2000,0.0052971
brn,c23,2005,0.0053197
grc,c40t41,2000,0.0053327
lux,c35,2008,0.0054131
nld,c70,2000,0.0054193
lux,c35,2005,0.0054799
jpn,c10t14,2005,0.0055114
cyp,c23,2008,0.0055621
kor,c10t14,2000,0.0056154
brn,c25,2005,0.0056819
bgr,c80,1995,0.0056989
gbr,c70,1995,0.0057372
brn,c15t16,2005,0.0058391
brn,c35,2000,0.0060325
irl,c40t41,2000,0.0060332
jpn,c10t14,2000,0.0060335
hkg,c20,2005,0.0060475
brn,c28,2000,0.0061338
swe,c70,1995,0.0061344
grc,c40t41,1995,0.0061676
sau,c90t93,2008,0.0062361
mys,c70,1995,0.0062567
khm,c34,2005,0.0063102
ind,c40t41,2008,0.0063142
sau,c29,2000,0.0063821
bgr,c34,2000,0.0064869
sau,c29,2008,0.0065047
brn,c303233,2008,0.0065784
mex,c55,2005,0.0066316
svn,c10t14,1995,0.0067015
brn,c303233,2000,0.0068657
pol,c75,2005,0.0068696
sau,c35,2008,0.0069149
ita,c55,2008,0.0069246
sau,c29,1995,0.0069635
lux,c35,2000,0.007032
isr,c55,1995,0.0070669
vnm,c73t74,2000,0.0073233
vnm,c73t74,1995,0.0073643
hun,c10t14,2005,0.0073928
khm,c34,2008,0.0076561
twn,c80,2008,0.0076828
jpn,c10t14,1995,0.0077644
twn,c70,2005,0.0077724
phl,c80,1995,0.0078077
svn,c23,2005,0.0078339
isr,c34,2008,0.0078422
cyp,c35,2000,0.0079651
jpn,c20,2000,0.0080545
sau,c35,1995,0.008191
hkg,c20,2000,0.0085138
lux,c34,2000,0.0086529
cyp,c303233,2000,0.0086885
mlt,c27,2000,0.00872
cyp,c23,2005,0.0087282
lux,c85,2000,0.0087605
mex,c70,2008,0.008839
chn,c73t74,2000,0.0088858
hkg,c17t19,2008,0.0088949
svn,c23,2008,0.0089168
mlt,c20,1995,0.0089217
sau,c36t37,2000,0.0091016
sgp,c20,2000,0.0092531
brn,c36t37,2005,0.0092754
jpn,c70,1995,0.0095058
mlt,c23,2000,0.0095665
isl,c40t41,2000,0.009567
sau,c35,2005,0.009575
khm,c34,2000,0.009625
hkg,c34,2008,0.0098836
mex,c55,2000,0.0101577
can,c85,2000,0.0102081
mlt,c20,2000,0.0102775
isl,c40t41,1995,0.0104161
sau,c36t37,2008,0.0107912
bra,c40t41,2005,0.0108911
svn,c10t14,2000,0.0109058
kor,c10t14,1995,0.0109288
sau,c17t19,1995,0.0109789
rus,c70,2008,0.011079
aut,c80,1995,0.0111265
rus,c85,1995,0.0111912
sgp,c10t14,2000,0.0112694
jpn,c20,2005,0.0112899
sau,c36t37,1995,0.0113697
jpn,c10t14,2008,0.0114366
isr,c34,1995,0.0114442
lux,c35,1995,0.0114629
isl,c40t41,2005,0.0114687
sgp,c75,2008,0.0116745
khm,c73t74,1995,0.0117812
sau,c20,2000,0.0119132
twn,c10t14,1995,0.0120831
brn,c80,2005,0.0122936
jpn,c20,2008,0.0123127
sau,c17t19,2000,0.0123816
svk,c90t93,1995,0.0123965
rus,c85,2008,0.012444
bgr,c85,1995,0.0124674
mex,c90t93,2008,0.0125986
sau,c29,2005,0.0132522
sau,c20,1995,0.0135192
brn,c80,2000,0.0135452
hkg,c27,2008,0.013558
ltu,c80,2008,0.0136794
hun,c10t14,2008,0.0137737
gbr,c71,2000,0.0138168
brn,c23,2008,0.0138791
kor,c20,2008,0.0139927
lux,c34,1995,0.0140743
lux,c34,2008,0.0141598
rus,c85,2000,0.014171
vnm,c24,1995,0.0141986
rus,c55,2008,0.0143475
sgp,c10t14,1995,0.0144009
cyp,c34,2000,0.0145063
svn,c10t14,2005,0.0145349
rus,c85,2005,0.0145398
hkg,c34,2005,0.0145788
idn,c73t74,2000,0.0147603
hkg,c34,2000,0.0147992
khm,c24,1995,0.0150426
cyp,c303233,1995,0.0153786
sgp,c01t05,2000,0.0155508
lux,c10t14,2005,0.0155603
rus,c55,2000,0.0155627
ltu,c55,2005,0.0157614
rus,c73t74,2008,0.0160993
cyp,c34,2008,0.0161148
fin,c55,1995,0.0161599
nld,c55,2000,0.0161776
sgp,c20,2005,0.0161945
grc,c303233,2008,0.0163179
mex,c55,1995,0.0163449
cyp,c40t41,1995,0.0166144
chl,c31,2000,0.0168009
pol,c75,2008,0.0168023
lux,c34,2005,0.0168191
sau,c90t93,2005,0.0169377
hkg,c26,2008,0.0171589
lux,c80,2000,0.0173238
lux,c55,1995,0.0173303
rus,c55,2005,0.0173818
sau,c90t93,2000,0.0174269
mex,c70,2005,0.0174765
lux,c85,1995,0.0175717
jpn,c20,1995,0.0175864
mex,c70,2000,0.0176134
fin,c10t14,2008,0.0177004
rus,c73t74,2005,0.0177985
brn,c36t37,2008,0.0181065
rus,c70,2000,0.0182146
rus,c70,2005,0.0182843
prt,c70,1995,0.0185024
sgp,c55,2000,0.0185287
hun,c10t14,2000,0.018552
mex,c80,1995,0.0186193
mex,c90t93,2005,0.0187873
tha,c65t67,1995,0.0189009
gbr,c55,1995,0.0190068
deu,c10t14,2008,0.019053
cyp,c34,2005,0.0191677
sau,c20,2008,0.0195545
sau,c36t37,2005,0.0195974
lux,c85,2005,0.0198279
hkg,c31,2008,0.0199854
nld,c55,1995,0.0200214
hkg,c27,2005,0.0200803
chl,c31,2005,0.0202705
hkg,c17t19,2005,0.0203532
nzl,c303233,2000,0.0205632
isl,c80,1995,0.0207752
sgp,c01t05,2005,0.0208157
kor,c20,2005,0.020988
rus,c73t74,2000,0.0210049
svn,c55,2008,0.0210347
gbr,c55,2000,0.0212187
usa,c45,2008,0.0214308
mlt,c20,2008,0.0214668
lux,c55,2005,0.0214855
deu,c80,2000,0.0221135
che,c34,1995,0.0221423
chn,c65t67,2008,0.0222372
brn,c25,2008,0.0223569
mex,c90t93,2000,0.0223842
svn,c55,2005,0.0227574
zaf,c303233,1995,0.0230304
fin,c10t14,2005,0.0236761
rus,c73t74,1995,0.0237029
mys,c80,2008,0.0237054
ita,c55,2005,0.023828
mys,c75,2008,0.0238767
nor,c34,2008,0.0238969
aut,c10t14,2008,0.024028
nor,c17t19,2008,0.0241372
vnm,c24,2000,0.0242455
nor,c70,1995,0.0243496
brn,c15t16,2008,0.0246243
che,c71,2008,0.0247689
sgp,c75,2005,0.0248617
che,c34,2000,0.0249444
twn,c80,1995,0.0250154
arg,c73t74,2005,0.0250339
ltu,c80,2005,0.0250694
khm,c24,2000,0.025124
bel,c10t14,2005,0.0252402
chn,c65t67,2005,0.0253222
sgp,c20,1995,0.025337
lva,c34,2000,0.0254318
irl,c10t14,2005,0.02546
cyp,c40t41,2000,0.0255099
sgp,c55,2008,0.0258
mys,c75,2005,0.0258571
pol,c71,2005,0.0259221
zaf,c303233,2000,0.0259422
lux,c55,2000,0.0262359
chl,c31,2008,0.0263177
nzl,c303233,2005,0.0263352
nor,c34,2005,0.0264965
cyp,c31,2005,0.0265653
sgp,c34,2000,0.0266645
arg,c73t74,2008,0.0267337
est,c27,2000,0.0267382
sau,c31,1995,0.0269005
lva,c34,1995,0.0269178
row,c73t74,2008,0.0269602
hkg,c31,2005,0.0271518
sau,c20,2005,0.027196
kor,c85,1995,0.027358
grc,c55,2008,0.0273953
che,c71,2005,0.0274815
ltu,c27,2005,0.027533
khm,c24,2005,0.0275356
usa,c45,2005,0.0275742
cyp,c31,2008,0.0277308
bel,c10t14,2008,0.0282019
usa,c55,2008,0.0282278
hkg,c01t05,2000,0.0282709
che,c10t14,1995,0.0283713
brn,c303233,1995,0.0284366
rus,c55,1995,0.0284411
cyp,c29,2008,0.0284801
sgp,c55,1995,0.0285143
khm,c24,2008,0.0286437
nor,c70,2008,0.0288031
nzl,c303233,1995,0.0289113
twn,c72,2008,0.0289177
grc,c34,2008,0.0289583
sau,c17t19,2008,0.0290585
hkg,c01t05,2008,0.0291427
esp,c10t14,2008,0.0291464
sau,c31,2000,0.0291557
lva,c34,2005,0.0292387
lux,c10t14,2000,0.0292726
fin,c10t14,2000,0.0293467
sgp,c01t05,2008,0.0296574
brn,c25,2000,0.0297699
ita,c10t14,2008,0.0299003
mex,c90t93,1995,0.0302089
phl,c35,1995,0.0302609
ita,c10t14,2005,0.0302735
fra,c45,2005,0.0303977
hkg,c15t16,2008,0.0304297
irl,c50t52,1995,0.030439
idn,c34,1995,0.030528
fra,c80,2008,0.0305764
svk,c10t14,2008,0.030597
brn,c36t37,2000,0.0307224
nzl,c303233,2008,0.0307929
kor,c40t41,2008,0.0311239
mys,c55,2008,0.0313331
sau,c90t93,1995,0.0314406
row,c34,2008,0.0314855
ltu,c65t67,2008,0.0315415
cyp,c29,2000,0.0315767
