ctry,isic,year,nat_res_exp_sha_t_3,trca,avg_gdppc,pop
svn,c24,1995,.0125609,1.144272,17829.68,1.99
svn,c55,1995,.0125609,1.227873,17829.68,1.99
kor,c40t41,2005,.0016689,.0487372,19016.53,48.138
grc,c65t67,1995,.0741848,.0058866,20901.11,10.672
aus,c70,1995,.2007802,2.098816,33756.87,18.12
svn,c80,1995,.0125609,.2595997,17829.68,1.99
cri,c70,1995,.2085302,1.290874,4922.468,
cyp,c21t22,2011,.008988,.0891207,23856.62,.862
isl,c65t67,2000,.0269054,.1092007,53989.79,.279
usa,c26,2011,.0480193,.6016011,42398,312.075
mys,c35,2000,.073461,.2244219,5704.014,23.495
svn,c73t74,1995,.0125609,.7791533,17829.68,1.99
isl,c23,2000,.0269054,.0646791,53989.79,.279
nld,c72,2000,.0647119,2.035025,41576.05,15.926
bra,c24,2011,.2758285,.8376545,5040.921,197.397
tur,c65t67,2008,.0303445,.3095077,7122.406,71.052
khm,c65t67,2011,.0545781,.4292444,496.9252,14.605
svn,c17t19,1995,.0125609,2.355505,17829.68,1.99
chn,c17t19,2005,.0173965,3.393084,2104.711,1307.56
svn,c50t52,1995,.0125609,.6291128,17829.68,1.99
cze,c45,2011,.0240207,1.380604,13323.08,10.487
chn,c29,2000,.0295296,.8140563,2104.711,1267.43
bgr,c28,2011,.0839,.9807779,3944.294,7.327
bra,c60t63,2000,.1031762,.4085957,5040.921,173.448
svn,c35,1995,.0125609,.2511172,17829.68,1.99
aus,c36t37,1995,.2007802,.4894643,33756.87,18.12
che,c21t22,2011,.0008957,.5934892,55462.7,7.87
col,c24,2011,.5170423,.6004484,3632.116,46.045
rus,c55,1995,.1619174,.9317942,5489.474,148.3
svn,c01t05,1995,.0125609,.4771503,17829.68,1.99
aut,c303233,1995,.0102759,.5577271,38213.98,7.948
phl,c72,2008,.0240966,.7481855,1250.67,90.5
aus,c17t19,2005,.3310407,.3711524,33756.87,20.312
zaf,c64,2000,.1779943,.8866174,5542.137,43.686
grc,c17t19,2011,.0426086,.8077391,20901.11,11.123
gbr,c23,2005,.0518481,.8567544,37949.07,60.235
tun,c36t37,2000,.0761208,.5901859,3325.969,9.553
svn,c85,1995,.0125609,2.875198,17829.68,1.99
ind,c23,2005,.0520263,1.833025,805.5861,1114
nor,c95,2008,.458582,,64093.89,4.787
tur,c65t67,1995,.0542871,1.669253,7122.406,57.453
cze,c34,1995,.0488948,.7161134,13323.08,10.333
cri,c80,1995,.2085302,.4932591,4922.468,
twn,c72,2000,.0017287,.1844176,17220.59,22.277
vnm,c71,1995,.2286988,.7695065,737.6383,71.996
isr,c10t14,2000,.025939,.1954356,21459.01,6.286
vnm,c36t37,1995,.2286988,1.059235,737.6383,71.996
khm,c28,2005,.0109972,.0262593,496.9252,13.356
hrv,c72,2000,.0181558,.0526057,9801.971,4.381
nzl,c60t63,2011,.142047,1.608264,26658.4,4.389
che,c26,2005,.0014017,.5107465,55462.7,7.415
prt,c35,2000,.0149709,.4175596,18446.16,10.29
chn,c31,2011,.0096865,2.144358,2104.711,1347.35
svn,c15t16,2000,.0089087,.6257721,17829.68,1.988
sau,c10t14,2008,.7979922,8.237648,14075.39,25.787
deu,c20,1995,.0104268,.4468978,35470.16,81.817
deu,c45,2011,.0127302,.4511966,35470.16,80.328
ita,c15t16,2005,.0100237,1.00632,30794.79,57.875
cri,c29,1995,.2085302,.0942256,4922.468,
chn,c23,2008,.011751,.3333782,2104.711,1328.02
irl,c23,2008,.0066328,.2847252,44928.17,4.485
col,c20,2000,.3559336,.1820288,3632.116,40.296
vnm,c50t52,2011,.1603652,1.103555,737.6383,87.84
deu,c95,2011,.0127302,,35470.16,80.328
esp,c70,2005,.0337014,1.755186,25309.04,43.663
bgr,c23,2011,.0839,1.879601,3944.294,7.327
svn,c90t93,2000,.0089087,1.720016,17829.68,1.988
usa,c45,2005,.029897,.2747499,42398,296.115
nld,c20,2000,.0647119,.3496321,41576.05,15.926
can,c24,2000,.1110334,.4656074,34929.9,30.647
fin,c01t05,1995,.0122247,.376368,37512.24,5.117
cri,c45,2008,.1134275,6.46669,4922.468,4.404
kor,c24,2011,.0011888,1.159924,19016.53,49.779
swe,c26,2011,.0235314,.9051861,41830.47,9.483
svn,c80,2000,.0089087,.7034247,17829.68,1.988
gbr,c85,2011,.0580698,.5956981,37949.07,63.285
isl,c24,1995,.0398204,.0566063,53989.79,.267
svk,c75,1995,.0224015,.0253744,12376.19,5.368
tha,c75,1995,.0199856,.0000142,2766.188,59.46
usa,c65t67,2008,.042951,1.730098,42398,304.718
svn,c36t37,2000,.0089087,2.332154,17829.68,1.988
phl,c55,2005,.0343684,1.158531,1250.67,85.26
svn,c24,2000,.0089087,1.429289,17829.68,1.988
rus,c35,2000,.2713214,.5624384,5489.474,146.3
dnk,c36t37,2000,.0586817,1.480201,47018.16,5.33
nzl,c20,2005,.0966734,3.732464,26658.4,4.142
cyp,c55,2011,.008988,5.721971,23856.62,.862
kor,c20,1995,.0082393,.0879103,19016.53,45.093
fin,c36t37,2005,.0080152,.3583374,37512.24,5.256
cze,c25,2000,.0250218,1.848741,13323.08,10.278
